序号, 货物, 爱丽丝的估价, 鲍勃的估价, 查理的估价, 大卫的估价, 艾琳的估价
1, 便携式工具箱, 30, 70, 60, 45, 45
2, 生存食品包装盒, 20, 22, 25, 23, 15
3, 一段丝绸布料, 110, 70, 50, 90, 80
4, 计算机内存条, 50, 100, 50, 90, 20
5, 电子温度计（实验室级别）, 200, 310, 200, 320, 300
6, 宠物狗-蝴蝶混种（处于冷冻状态）, 180, 50, -50, 0, 200
7, 餐具套装, 7, 6, 5, 5, 6
8, 太空服, 200, 700, 450, 550, 550
9, 太空蝴蝶结, 3, 10, 3, 4, 1
10, 卷起式300英寸平板电视, 75, 50, 90, 50, 40
11, 餐桌餐具套装, 4, 4, 1, 1, 3
12, 夏季鞋子, 15, 5, 7, 5, 10
13, 全息甲板访问钥匙卡, 10, 110, 110, 30, 40
14, 稀有纸质书籍包装盒, 120, 80, 90, 150, 170
15, 茅膏菜-南瓜种子, 5, 3, 15, 30, 100
16, 扫描夸克显微镜, 200, 800, 600, 1100, 1000
17, 网络视频传输设备, 150, 50, 300, 100, 100
18, 针织毛衣, 20, 20, 20, 20, 20
19, 可调谐波长投影仪, 5, 8, 7, 20, 35
20, 阿尔巴尼亚键盘, 9, 10, 15, 2, 5
21, 可折叠物业（高税）, 50, 75, -30, -50, -40
22, 一瓶Melange香料, 50, 25, 95, 100, 50
23, 自动鸡计数器, 20, 75, 20, 70, 90
24, 古董iPhone17（良好状态）, 200, 300, 340, 125, 150
25, 激光剑（损坏）, 50, 100, 220, 110, 70
26, 高中生纠错工具, 200, 250, 150, 400, 500
27, 无可疑机械零件, 3, 30, 5, 7, 5
28, 可疑的机械零件, 3, 45, 50, 70, 45
29, “我们曾被称为BTS”回忆录（书籍）, 70, 40, 100, 10, 120
30, 卢克的出生证明, 30, 5, 25, 10, 5
